Open-time              Open          High           Low         Close        Volume Close-time      QuoteVolume       #Trades  #BasedVolume #QuotedVolume 
1617457860000 2114.00000000 2114.01000000 2111.98000000 2112.29000000  506.13662000 1617457919999 1069519.70972610           635  204.21325000 431383.98242040             0 
1617457920000 2112.26000000 2114.57000000 2112.25000000 2114.53000000  335.66733000 1617457979999 709472.81440350           482  229.17721000 484385.44231410             0 
1617457980000 2114.52000000 2116.00000000 2113.00000000 2113.05000000  535.74577000 1617458039999 1133075.88016330           795  224.96295000 475780.65944620             0 
1617458040000 2113.04000000 2113.15000000 2112.08000000 2112.17000000  341.11070000 1617458099999 720636.63727730           568  164.67176000 347893.20479380             0 
1617458100000 2112.18000000 2112.45000000 2110.97000000 2111.00000000  142.86702000 1617458159999 301665.06035060           317   55.85001000 117920.77369070             0 
1617458160000 2111.00000000 2112.34000000 2110.98000000 2112.18000000  157.92473000 1617458219999 333433.06945360           289   66.34616000 140074.11911440             0 
1617458220000 2112.18000000 2114.31000000 2112.08000000 2113.92000000  480.53016000 1617458279999 1015203.29835170           437  356.51902000 753126.40855250             0 
1617458280000 2113.91000000 2115.07000000 2113.91000000 2115.06000000  481.81434000 1617458339999 1018774.76167690           466  231.97503000 490493.36025690             0 
1617458340000 2115.06000000 2117.07000000 2115.01000000 2116.53000000  845.49601000 1617458399999 1789111.48568780          1021  590.50725000 1249559.73648500             0 
1617458400000 2116.54000000 2117.80000000 2116.53000000 2117.17000000  596.72996000 1617458459999 1263411.28055550           901  200.78660000 425121.08083650             0 
1617458460000 2117.18000000 2117.27000000 2113.42000000 2113.90000000  886.05654000 1617458519999 1874373.96507080           928  248.44284000 525376.57460360             0 
1617458520000 2113.91000000 2115.13000000 2113.90000000 2115.00000000  333.58508000 1617458579999 705282.46539120           613  173.99655000 367861.08845710             0 
1617458580000 2115.11000000 2116.12000000 2114.49000000 2115.55000000  310.79579000 1617458639999 657400.59637490           701  185.70857000 392796.70505950             0 
